tic_id,label,status,n_after_clip,n_detrended,trend_amp_ppt,detrend_flag,n_gaps,window_used,rms_clean_ppt
443616612,Transit,ok,17094,17094,57.7,True,5,0.5,10.219
35857242,Transit,ok,13974,13974,,False,23,0.5,
123309556,Transit,ok,19609,19609,29.24,True,3,0.5,3.281
437242640,Transit,ok,16715,16715,5.9,False,14,0.5,1.109
184240683,Transit,ok,17811,17811,6.35,False,50,0.5,2.815
168281028,Transit,ok,18010,18010,10.5,False,4,0.5,2.856
104866616,Transit,ok,16487,16487,13.53,False,39,0.5,2.509
146364192,Transit,ok,16799,16799,12.44,False,5,0.5,1.586
348755728,Transit,ok,13600,13600,185.89,True,9,0.5,8.45
8599009,Transit,ok,17184,17184,8.74,False,29,0.5,1.96
441420236,Transit,ok,17802,17802,49.13,True,44,0.5,1.465
116156517,Transit,ok,15755,15755,16.53,False,25,0.5,2.249
81247740,Transit,ok,13873,13873,31.35,True,45,0.5,1.971
308073360,Transit,ok,16806,16806,17.37,False,3,0.5,2.305
368435330,Transit,ok,16672,16672,9.14,False,25,0.5,0.864
455135327,Transit,ok,16274,16274,10.27,False,10,0.5,1.624
404340025,Transit,ok,18183,18183,27.36,True,28,0.5,3.161
281196902,Transit,ok,18547,18547,15.94,False,3,0.5,3.332
394050135,Transit,ok,19562,19562,2.59,False,3,0.5,1.845
459762279,Transit,ok,16477,16477,50.47,True,29,0.5,11.307
456862677,Transit,ok,15792,15792,8.02,False,69,0.5,2.43
392476080,Transit,ok,12107,12107,5.42,False,47,0.5,1.633
347329162,Transit,ok,17691,17691,12.56,False,73,0.5,3.08
375942197,Transit,ok,18793,18793,23.04,True,11,0.5,2.866
257774438,Transit,ok,15808,15808,3.32,False,40,0.5,0.763
154220877,Transit,ok,15591,15591,32.57,True,27,0.5,31.387
102264230,Transit,ok,14672,14672,11.72,False,24,0.5,3.18
75878355,Transit,ok,16936,16936,5.93,False,3,0.5,0.614
311133118,Transit,ok,14134,14134,16.04,False,8,0.5,2.607
124573851,Transit,ok,16407,16407,7.47,False,13,0.5,1.235
18310799,Transit,ok,16323,16323,11.81,False,6,0.5,1.172
268403451,Transit,ok,16665,16665,2.54,False,14,0.5,1.221
203189770,Transit,ok,17561,17561,5.02,False,25,0.5,1.473
5882269,Transit,ok,16912,16912,21.96,True,6,0.5,3.515
230001847,Transit,ok,19611,19611,3.77,False,3,0.5,2.003
289661991,Transit,ok,18661,18661,7.62,False,13,0.5,2.732
84339983,Transit,ok,16789,16789,14.22,False,14,0.5,2.602
229455001,Transit,ok,18410,18410,1.6,False,7,0.5,0.741
198385543,Transit,ok,16422,16422,11.12,False,24,0.5,3.203
114749636,Transit,ok,16829,16829,56.24,True,8,0.5,3.199
284613090,EB,ok,15330,15330,12.22,False,11,0.5,1.046
39018208,EB,ok,17979,17979,4.63,False,48,0.5,1.864
266816672,EB,ok,13541,13541,17.28,False,9,1.5,56.113
52641430,EB,ok,14681,14681,9.09,False,7,0.5,1.622
137310514,EB,ok,18009,18009,22.4,True,27,0.5,3.184
13684720,EB,ok,18101,18101,57.6,True,37,0.5,7.588
368334916,EB,ok,18036,18036,9.2,False,4,0.5,6.302
160228595,EB,ok,15813,15813,8.3,False,29,0.5,1.59
388244501,EB,ok,18184,18184,7.78,False,28,0.5,1.182
231629787,EB,ok,18277,18277,99.5,True,44,1.5,104.389
167717848,EB,ok,17695,17695,283.16,True,13,0.5,6.029
237117591,EB,ok,17910,17910,2.7,False,6,0.5,0.929
439458951,EB,ok,13541,13541,3.37,False,9,1.5,14.386
256640561,EB,ok,16252,16252,7.89,False,26,0.5,3.301
92902951,EB,ok,12775,12775,62.15,True,36,0.5,17.233
259070502,EB,ok,15757,15757,4.69,False,9,0.5,0.176
122446076,EB,ok,13818,13818,29.82,True,40,0.5,6.801
380645083,EB,ok,18154,18154,9.99,False,19,0.5,0.981
438071843,EB,ok,14672,14672,11.83,False,7,0.5,2.343
284891601,EB,ok,18404,18404,5.32,False,7,1.5,1.282
263078276,EB,ok,18277,18277,93.09,True,44,1.5,154.105
464838153,EB,ok,13606,13606,67.86,True,17,0.5,13.781
152592870,EB,ok,14462,14462,35.28,True,56,1.542,83.424
438790187,EB,ok,18186,18186,51.85,True,28,0.5,1.797
50191648,EB,ok,15503,15503,40.62,True,21,0.5,5.881
276105676,EB,ok,16657,16657,13.4,False,10,1.976,10.427
459278502,EB,ok,17631,17631,33.72,True,4,0.5,2.98
123222370,EB,ok,13303,13303,8.4,False,10,0.5,1.377
149833117,EB,ok,17344,17344,3.87,False,21,0.5,1.324
49418981,EB,ok,16013,16013,12.32,False,17,0.5,3.536
24194061,EB,ok,16930,16930,23.59,True,50,0.5,10.496
53178352,EB,ok,16902,16902,51.65,True,8,0.5,14.718
390661644,EB,ok,15443,15443,39.39,True,16,0.5,2.956
79548760,EB,ok,13254,13254,2.55,False,11,0.5,0.29
171084337,EB,ok,17056,17056,29.88,True,11,1.5,7.5
48499902,EB,ok,16454,16454,156.73,True,11,0.5,9.608
349518145,EB,ok,18101,18101,14.86,False,54,0.5,4.94
91448148,EB,ok,13003,13003,13.33,False,88,0.5,15.936
137408317,EB,ok,16906,16906,149.42,True,13,0.5,28.848
248348545,EB,ok,13541,13541,30.02,True,9,1.5,107.964
329864959,Other,ok,15874,15874,2.82,False,8,0.5,1.373
252636888,Other,ok,17989,17989,17.83,False,4,0.5,1.377
294599100,Other,ok,17891,17891,15.88,False,7,0.5,5.432
59859387,Other,ok,17458,17458,11.58,False,3,0.5,1.143
175079720,Other,ok,17760,17760,15.78,False,3,0.5,3.733
233497719,Other,ok,18165,18165,8.47,False,2,0.5,5.645
80275202,Other,ok,17245,17245,7.65,False,9,0.5,2.36
325172035,Other,ok,17328,17328,4.68,False,4,0.5,0.889
42755801,Other,ok,17458,17458,7.82,False,3,0.5,0.673
438295981,Other,ok,17386,17386,5.97,False,4,0.5,0.814
155947004,Other,ok,17190,17190,4.49,False,48,0.5,3.17
357972447,Other,ok,18882,18882,6.89,False,3,0.5,1.238
141631253,Other,ok,17771,17771,13.99,False,3,0.5,1.584
229536616,Other,ok,17957,17957,3.18,False,25,0.5,1.558
407394748,Other,ok,16748,16748,2.63,False,3,0.5,0.874
7904580,Other,ok,17504,17504,31.65,True,7,0.5,7.794
125405602,Other,ok,16108,16108,38.79,True,16,0.5,2.708
252537013,Other,ok,12869,12869,3.52,False,3,0.5,1.51
298073824,Other,ok,18393,18393,1.34,False,5,0.5,0.611
350445771,Other,ok,18276,18276,60.04,True,48,0.5,5.638
113919944,Other,ok,16957,16957,44.91,True,16,0.5,4.387
37084932,Other,ok,17457,17457,13.17,False,3,0.5,0.968
296898634,Other,ok,19474,19474,30.76,True,3,0.5,5.114
112395568,Other,ok,18196,18196,19.1,False,23,0.5,0.938
268914377,Other,ok,17371,17371,34.89,True,4,0.5,12.345
274942910,Other,ok,19025,19025,6.61,False,3,0.5,1.161
271042173,Other,ok,17898,17898,10.16,False,7,0.5,2.807
459997997,Other,ok,17343,17343,7.87,False,3,0.5,1.591
286561122,Other,ok,15660,15660,7.8,False,46,0.5,1.232
114103134,Other,ok,17765,17765,15.04,False,3,0.5,2.792
37575651,Other,ok,13316,13316,3.01,False,8,0.5,0.646
126733133,Other,ok,13160,13160,12.97,False,10,0.5,1.187
373614579,Other,ok,3471,3471,44.62,True,12,0.5,4.625
306547699,Other,ok,3449,3449,51.94,True,2,0.5,13.371
125894957,Other,ok,3463,3463,8.38,False,1,0.5,1.492
304025075,Other,ok,3075,3075,13.1,False,4,0.5,5.81
48476907,Other,ok,2404,2404,3.15,False,34,0.5,0.575
278968371,Other,ok,3915,3915,151.2,True,1,0.5,8.11
352924930,Other,ok,3341,3341,3.39,False,1,0.5,0.736
341805908,Other,ok,3863,3863,10.83,False,1,0.5,1.072
